parameter_1,parameter_2,all_trial_pearson,top10_pearson,top20_pearson
ores,osat,-0.10193535255166077,0.5962141554542534,0.35722010448472336
ores,alfa,-0.5138104421718107,-0.5531581055000985,-0.26210384007488297
ores,npar,-0.2794235741710952,0.8066817259773772,0.34868458388972884
ores,ksatfit,0.5534708528050647,0.43813609986006136,0.29082641214912663
ores,lexp,-0.07237793148492301,-0.346826500269227,-0.10244857396519554
ores,ksatexm,0.6194416904837492,0.48176105004263087,0.35040695901264957
ores,bdens,0.34928302349563933,-0.6358924883880781,-0.232277792529127
osat,alfa,-0.11363638042116087,-0.4353883081550392,-0.4792225033855365
osat,npar,0.17095971562228301,0.6011048354986132,0.7696690866900633
osat,ksatfit,0.020588545685605093,0.5329161779113863,0.5581513976734845
osat,lexp,-0.26974844973895507,-0.15971066988031057,-0.24203598692560166
osat,ksatexm,-0.06471884632994127,0.5757822249344415,0.5675880394282773
osat,bdens,-0.2877344801659817,-0.3662115086708044,-0.677328203897017
alfa,npar,0.18816920373163376,-0.512144196640252,-0.5622381823768466
alfa,ksatfit,-0.4767148925880203,-0.5937712382389143,-0.6986971236356514
alfa,lexp,-0.11902837642311218,-0.2189923814742887,-0.14620799610146626
alfa,ksatexm,-0.6140567831362677,-0.4419039155002623,-0.40620853256173844
alfa,bdens,0.004681606542139938,0.27049650061248665,0.3998892302616696
npar,ksatfit,-0.3127559415880631,0.46946232324859255,0.5645452845886364
npar,lexp,-0.2747236740163998,-0.1632098511991643,-0.21966399799816105
npar,ksatexm,-0.29129759789891707,0.4610383981089626,0.5642737126228106
npar,bdens,0.06151281319418936,-0.620754616948253,-0.7561317342737022
ksatfit,lexp,0.1001576330233762,-0.21152706421325035,-0.191717939498594
ksatfit,ksatexm,0.4154425558754672,0.17766459047565605,0.48650313615716434
ksatfit,bdens,0.031672952280537736,-0.22946751055208928,-0.5078029367979398
lexp,ksatexm,0.02065456089430413,0.04894103496367184,-0.18705420049048846
lexp,bdens,-0.005718227966777959,0.49279772672821415,0.5642393658028733
ksatexm,bdens,0.0591162272965923,-0.2304056912861816,-0.6097906753149711
