* Project:       Karaj-Data-Assimilation
* File content:  soil physical parameters
* File name:     SoilPhysParam.csv
* Model version: Swap 3.2.87
* Generated at:  16-Sep-2026 17:00:59
layer,head(cm),theta(cm3.cm3),C(cm-1),RelSat(-),k(cm.d-1)
         1,  0.0000000E+00,  3.6241730E-01,  4.4721360E-11,  1.0000000E+00,  2.7482386E+01
         1, -1.0000000E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482385E+01
         1, -1.1000000E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482385E+01
         1, -1.2100000E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482385E+01
         1, -1.3310000E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482385E+01
         1, -1.4641000E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482385E+01
         1, -1.6105100E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482385E+01
         1, -1.7715610E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482385E+01
         1, -1.9487171E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482384E+01
         1, -2.1435888E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482384E+01
         1, -2.3579477E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482384E+01
         1, -2.5937425E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482384E+01
         1, -2.8531167E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482384E+01
         1, -3.1384284E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482384E+01
         1, -3.4522712E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482383E+01
         1, -3.7974983E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482383E+01
         1, -4.1772482E-07,  3.6241730E-01,  5.6770419E-05,  1.0000000E+00,  2.7482383E+01
